From,To,Similarity,X.y,fdd_var,cohort
"during the past month, how often have you had trouble sleeping because you:- wake up in the middle of the night or early morning","Trouble Sleeping, Waking Up in the Middle of the Night or Early Morning",0.773,1636,SP6,camcan
over the last year have you had trouble getting off to sleep?,Have a Lot of Trouble Getting to Sleep,0.77,84274,pssle89,mrc
"[c3 sleep disturbance q1] today, do you feel? ",Sleep disturbances,0.769,3348,c3todaydoyoufeel,caps
"[c3 sleep disturbance q1] today, do you feel? ",Sleep disturbances,0.769,7175,T0481 C3 General health and sleep disturbance quests,caps
insomnia ever,Initial insomnia,0.767,885,Insomnia_Ever,ample
sleep disorders - cried out during sleep,Sleep Disorders,0.765,871,SD_Cried_Out,ample
sleep: no. days trouble staying asleep in last month,"Trouble falling or staying asleep, or sleeping too much in last 2W",0.765,72705,heslpc,elsa
sleep: no days trouble staying asleep in last month,"Trouble falling or staying asleep, or sleeping too much in last 2W",0.765,77441,heslpc,elsa
"in the last 12 months, how often has wheezing disturbed sleep","In the last 12Mo, how often, on average, has your sleep been disturbed due to wheezing",0.764,46953,sletw,elsa
trouble getting off to sleep in past month,Have a Lot of Trouble Getting to Sleep,0.763,84266,pse3582,mrc
trouble with sleep,Trouble sleeping in past 4W,0.763,84282,slcna,mrc
trouble with sleep,Trouble sleeping in past 4W,0.763,84286,sleep77,mrc
trouble with sleep,Trouble sleeping in past 4W,0.763,84287,sleept1_v2,mrc
psqi: sleep disturbance,Sleep disturbances,0.762,84268,psqidistb14x,mrc
s restless at night?,Sleep is Restless,0.76,14269,v66_h6,cfas
s restless at night?,Sleep is Restless,0.76,17093,v66_h12,cfas
s restless at night?,Sleep is Restless,0.76,17428,v66_h14,cfas
s restless at night?,Sleep is Restless,0.76,17763,v66_h16,cfas
s restless at night?,Sleep is Restless,0.76,18439,v66_h6,cfas
s restless at night?,Sleep is Restless,0.76,18763,v66_h8,cfas
s restless at night?,Sleep is Restless,0.76,19099,v66_hx,cfas
s restless at night?,Sleep is Restless,0.76,35902,v89_h1,cfasii
s restless at night?,Sleep is Restless,0.76,36235,v89_h2,cfasii
s restless at night?,Sleep is Restless,0.76,14269,v66_h6,cfas
s restless at night?,Sleep is Restless,0.76,17093,v66_h12,cfas
s restless at night?,Sleep is Restless,0.76,17428,v66_h14,cfas
s restless at night?,Sleep is Restless,0.76,17763,v66_h16,cfas
s restless at night?,Sleep is Restless,0.76,18439,v66_h6,cfas
s restless at night?,Sleep is Restless,0.76,18763,v66_h8,cfas
s restless at night?,Sleep is Restless,0.76,19099,v66_hx,cfas
s restless at night?,Sleep is Restless,0.76,35902,v89_h1,cfasii
s restless at night?,Sleep is Restless,0.76,36235,v89_h2,cfasii
s difficulty sleeping at beginning?,Difficulty sleeping,0.754,14310,v102_h6,cfas
