master_id,who,Cohort,Cohort_Var_Name,Full_Description,Cohort_Var_Description,Consensus Category,Test Categories
326,,Whitehall,JSLPFALL,q56a last mth- trouble falling asleep (s,q56a last mth- trouble falling asleep (s,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
346,,Whitehall,TSLPFALL,q2.64a trouble falling asleep (s5),q2.64a trouble falling asleep (s5),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
425,,Whitehall,JSLBRPAU,q61 breathing pauses during sleep (s9),q61 breathing pauses during sleep (s9),['Sleep Disorders'],['No Specific Test']
437,,Whitehall,XWKSLEEP,how many hours sleep do you have on an average week night?,q73c hours/day sleep (s3),['Sleep Duration'],['No Specific Test']
503,,Whitehall,ZGHQ02,q54 recent lost much sleep? (s2),q54 recent lost much sleep? (s2),['Sleep Difficulty'],['GHQ']
513,,Whitehall,JGHQ02,q25 lost sleep by worry (s9),q25 lost sleep by worry (s9),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
525,,Whitehall,KGHQ02,q42 lost sleep by worry (s8),q42 lost sleep by worry (s8),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
528,,Whitehall,KSLEEP,how many hours sleep do you have on an average week night?,q72 hours sleep on avg wk-night (s8),['Sleep Duration'],['No Specific Test']
538,,Whitehall,JSLEEP,how many hours sleep do you have on an average week night?,q55 hours sleep on avg wk-night (s9),['Sleep Duration'],['No Specific Test']
549,,Whitehall,FGHQ02,q23 lost sleep by worry (s11),q23 lost sleep by worry (s11),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
551,,Whitehall,DGHQ02,q23 lost sleep by worry (s12),q23 lost sleep by worry (s12),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
550,,Whitehall,DSLEEP,q56 hours sleep on avg wk-night (s12),q56 hours sleep on avg wk-night (s12),['Sleep Duration'],['No Specific Test']
560,,Whitehall,FSLEEP,q55 hours sleep on avg wk-night (s11),q55 hours sleep on avg wk-night (s11),['Sleep Duration'],['No Specific Test']
577,,Whitehall,GHQ02,q81 recently lost much sleep (s1),q81 recently lost much sleep (s1),['Sleep Difficulty'],['GHQ']
582,,Whitehall,XGHQ02,q88 recently lost much sleep? (s3),q88 recently lost much sleep? (s3),['Sleep Difficulty'],['GHQ']
595,,Whitehall,QGHQ02,q23 recently lost sleep by worry (s6),q23 recently lost sleep by worry (s6),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
636,,Whitehall,MGHQ02,q42 recently lost sleep due to worry (s7),q42 recently lost sleep due to worry (s7),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
658,,Whitehall,TGHQ02,q2.34 recently lost sleep by worry (s5),q2.34 recently lost sleep by worry (s5),"['Sleep Difficulty', 'Mental Health and Sleep']",['GHQ']
299,,Whitehall,JSLPDIST,q56e last mth- disturbed sleep (s9),q56e last mth- disturbed sleep (s9),['Sleep Difficulty'],['No Specific Test']
325,,Whitehall,FSLPDIST,q56e last mth- disturbed sleep (s11),q56e last mth- disturbed sleep (s11),['Sleep Difficulty'],['No Specific Test']
327,,Whitehall,DSLPDIST,q57e last mth- disturbed sleep (s12),q57e last mth- disturbed sleep (s12),['Sleep Difficulty'],['No Specific Test']
337,,Whitehall,VSYMSLP,q26d suffer menop sleep disturbance? (s4),q26d suffer menop sleep disturbance? (s4),"['Sleep Difficulty', 'Physical Health and Sleep']",['No Specific Test']
339,,Whitehall,DSLPFALL,q57a last mth- trouble falling asleep (s12),q57a last mth- trouble falling asleep (s12),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
340,,Whitehall,XSYMSLP,q29d suffer menop sleep disturbance? (s3),q29d suffer menop sleep disturbance? (s3),"['Sleep Difficulty', 'Physical Health and Sleep']",['No Specific Test']
342,,Whitehall,FSLPFALL,q56a last mth- trouble falling asleep (s11),q56a last mth- trouble falling asleep (s11),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
396,,Whitehall,SLEEP,how many hours sleep do you have on an average week night?,q31 hours of sleep on average week night (s1),['Sleep Duration'],['No Specific Test']
407,,Whitehall,MSLPSTAY,q73c cannot stay asleep in last 4 wks (s7),q73c cannot stay asleep in last 4 wks (s7),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
412,,Whitehall,FSLPNAP,q57a sleep- nap during day (s11),q57a sleep- nap during day (s11),['Daytime Sleepiness'],['No Specific Test']
414,,Whitehall,DSLPNAP,q58a sleep- nap during day (s12),q58a sleep- nap during day (s12),['Daytime Sleepiness'],['No Specific Test']
415,,Whitehall,KSLPSTAY,q73c last mth- cannot stay asleep (s8),q73c last mth- cannot stay asleep (s8),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
416,,Whitehall,TSYMSLP,q3.8d menopausal sleep disturb (s5),q3.8d menopausal sleep disturb (s5),"['Sleep Difficulty', 'Physical Health and Sleep']",['No Specific Test']
422,,Whitehall,JSLPSTAY,q56c last mth- cannot stay asleep (s9),q56c last mth- cannot stay asleep (s9),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
424,,Whitehall,SYMSLP,q36d suffer menopausal sleep disturbance (s1),q36d suffer menopausal sleep disturbance (s1),"['Sleep Difficulty', 'Physical Health and Sleep']",['No Specific Test']
432,,Whitehall,TSLPSTAY,q2.64c cannot stay asleep (s5),q2.64c cannot stay asleep (s5),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
450,,Whitehall,DSLPSTAY,q57c last mth- cannot stay asleep (s12),q57c last mth- cannot stay asleep (s12),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
453,,Whitehall,FSLPSTAY,q56c last mth- cannot stay asleep (s11),q56c last mth- cannot stay asleep (s11),"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
454,,Whitehall,JSLDRIVE,q64 fallen asleep whilst driving (s9),q64 fallen asleep whilst driving (s9),['Daytime Sleepiness'],['No Specific Test']
521,,Whitehall,JSNORHOW,q58 snoring description (s9),q58 snoring description (s9),['Sleep Disorders'],['No Specific Test']
539,,Whitehall,FSLPNAPL,q57c sleep - length of nap during day (s11),q57c sleep - length of nap during day (s11),"['Sleep Duration', 'Daytime Sleepiness']",['No Specific Test']
541,,Whitehall,DSLPNAPL,q58c sleep - length of nap during day (s12),q58c sleep - length of nap during day (s12),"['Sleep Duration', 'Daytime Sleepiness']",['No Specific Test']
544,,Whitehall,MSLEEP,q72 week-night average hours of sleep (s7),q72 week-night average hours of sleep (s7),['Sleep Duration'],['No Specific Test']
579,,Whitehall,FSLPNAPF,q57b sleep - frecuency nap during day (s11),q57b sleep - frecuency nap during day (s11),['Daytime Sleepiness'],['No Specific Test']
580,,Whitehall,DSLPNAPF,q58b sleep - frecuency nap during day (s12),q58b sleep - frecuency nap during day (s12),['Daytime Sleepiness'],['No Specific Test']
661,,Whitehall,FALCINC4,q73b increased alc: get to sleep (s11),q73b increased alc: get to sleep (s11),"['Sleep Medications and Aids', 'Alcohol Related']",['No Specific Test']
662,,Whitehall,JDPN11,q101k cesd q11- sleep (s9),q101k cesd q11- sleep (s9),['Uncategorized'],['CESD']
668,,Whitehall,TSLEEP,how many hours sleep do you have on an average week night?,q2.63 hrs sleep on avg week night (s5),['Sleep Duration'],['No Specific Test']
743,,Whitehall,MSLPWAKS,q73b wake up several times in last 4 wks (s7),q73b wake up several times in last 4 wks (s7),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
744,,Whitehall,KSLPWAKS,q73b last mth- wake several times (s8),q73b last mth- wake several times (s8),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
745,,Whitehall,JSLPWAKS,q56b last mth- wake several times (s9),q56b last mth- wake several times (s9),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
746,,Whitehall,TSLPWAKS,q2.64b wake several times (s5),q2.64b wake several times (s5),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
747,,Whitehall,DSLPWAKS,q57b last mth- wake several times (s12),q57b last mth- wake several times (s12),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
748,,Whitehall,MSLPWAKT,q73d wake as usual but tired in last 4 wks (s7),q73d wake as usual but tired in last 4 wks (s7),"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
749,,Whitehall,FSLPWAKS,q56b last mth- wake several times (s11),q56b last mth- wake several times (s11),"['Sleep Quality', 'Sleep Latency and Waking']",['No Specific Test']
750,,Whitehall,KSLPWAKT,q73d last mth- wake as usual but tired (s8),q73d last mth- wake as usual but tired (s8),"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
751,,Whitehall,JSLPWAKT,q56d last mth- wake as usual but tired (,q56d last mth- wake as usual but tired (,"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
752,,Whitehall,FSLPWAKT,q56d last mth- wake as usual but tired (s11),q56d last mth- wake as usual but tired (s11),"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
753,,Whitehall,DSLPWAKT,q57d last mth- wake as usual but tired (s12),q57d last mth- wake as usual but tired (s12),"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
754,,Whitehall,TSLPWAKT,q2.64d wake as usual but tired (s5),q2.64d wake as usual but tired (s5),"['Daytime Sleepiness', 'Sleep Quality']",['No Specific Test']
