master_id,who,Cohort,Cohort_Var_Name,Full_Description,Cohort_Var_Description,Consensus Category,Test Categories
434,BJD,CaPS,c3restlessdisturbednights,[c3 general health q3] have you recently been having restless disturbed nights? ,[c3 general health q3] have you recently been having restless disturbed nights? ,['Sleep Difficulty'],['No Specific Test']
497,BJD,CaPS,c2homesleephours,[c2 home & work environment q21] how many months a year do you sleep with your bedroom window open? ,[c2 home & work environment q21] how many months a year do you sleep with your bedroom window open? ,['Sleep Environment'],['No Specific Test']
499,BJD,CaPS,c2wakeupduenoise,[c2 home & work environment q29] does traffic noise wake you up? ,[c2 home & work environment q29] does traffic noise wake you up? ,"['Sleep Environment', 'Sleep Latency and Waking']",['No Specific Test']
526,BJD,CaPS,c3tasksatisfaction,[c3 general health q8] have you recently been satisfied with the way youve carried out your task? ,[c3 general health q8] have you recently been satisfied with the way youve carried out your task? ,['Uncategorized'],['No Specific Test']
536,BJD,CaPS,c2sleepdifficult,[c2 home & work environment q28] does traffic noise make it difficult for you to fall asleep? ,[c2 home & work environment q28] does traffic noise make it difficult for you to fall asleep? ,"['Sleep Environment', 'Sleep Latency and Waking']",['No Specific Test']
110,BJD,CaPS,c3todaydoyoufeel,"[c3 sleep disturbance q1] today, do you feel? ","[c3 sleep disturbance q1] today, do you feel? ",['Uncategorized'],['No Specific Test']
158,BJD,CaPS,T0481 C3 General health and sleep disturbance quests,[c3 sleep disturbance] the card number in this case 9,[c3 sleep disturbance] the card number in this case 9,['Uncategorized'],['No Specific Test']
256,BJD,CaPS,T0481 C3 General health and sleep disturbance quests,[c3 sleep disturbance] the file number as recorded on card 9,[c3 sleep disturbance] the file number as recorded on card 9,['Uncategorized'],['No Specific Test']
261,BJD,CaPS,c3snoring,[c3 sleep disturbance q2] have you ever been told you snore? ,[c3 sleep disturbance q2] have you ever been told you snore? ,['Sleep Disorders'],['No Specific Test']
296,BJD,CaPS,c3gettosleepdifficuly,[c3 sleep disturbance q11a] difficulty in getting to sleep? ,[c3 sleep disturbance q11a] difficulty in getting to sleep? ,"['Sleep Difficulty',  'Sleep Latency and Waking']",['No Specific Test']
347,BJD,CaPS,c3loudnesssnoring,[c3 sleep disturbance q4] how loud have others said your snoring is? ,[c3 sleep disturbance q4] how loud have others said your snoring is? ,"['Sleep Difficulty', 'Sleep Environment']",['No Specific Test']
349,BJD,CaPS,c3sleepinessduringday,[c3 sleep disturbance q11f] feelings of excessive sleepiness during the day? ,[c3 sleep disturbance q11f] feelings of excessive sleepiness during the day? ,['Daytime Sleepiness'],['No Specific Test']
351,BJD,CaPS,c3hrsworkdaysleep,[c3 sleep disturbance q13a] how many hours of sleep do you usually get in a workday night?,[c3 sleep disturbance q13a] how many hours of sleep do you usually get in a workday night?,['Sleep Duration'],['No Specific Test']
362,BJD,CaPS,c3freqnapduringtheday,[c3 sleep disturbance q14] how often do you take a nap during the day or early evening? ,[c3 sleep disturbance q14] how often do you take a nap during the day or early evening? ,['Daytime Sleepiness'],['No Specific Test']
392,BJD,CaPS,c3wakerepeatedly,[c3 sleep disturbance q11c] wake up repeatly during the night? ,[c3 sleep disturbance q11c] wake up repeatly during the night? ,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
