"","ui","rootSource","uri","name"
"1736","C5573424","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5573424","ESCHSCHOLZIA CALIFORNICA WHOLE 3 [hp_C] in 1 mL / MATRICARIA CHAMOMILLA WHOLE 3 [hp_C] in 1 mL / ARTEMISIA CINA PRE-FLOWERING TOP 6 [hp_C] in 1 mL / ARABICA COFFEE BEAN 6 [hp_C] in 1 mL / STRYCHNOS NUX-VOMICA SEED 6 [hp_C] in 1 mL / PASSIFLORA INCARNATA FLOWERING TOP 6 [hp_C] in 1 mL / PULSATILLA PRATENSIS WHOLE 6 [hp_C] in 1 mL / STRYCHNOS IGNATII SEED 30 [hp_C] in 1 mL / DIBASIC POTASSIUM PHOSPHATE 30 [hp_C] in 1 mL / TOXICODENDRON PUBESCENS LEAF 30 [hp_C] in 1 mL ORAL SPRAY [Serene Sleep]"
"1737","C4085223","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4085223","How Often Difficulty Sleeping"
"1738","C4085321","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4085321","Usual Severity Difficulty Sleeping"
"1739","C4085322","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4085322","How Much Distress Difficulty Sleeping"
"1740","C0556020","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0556020","Overdose with sleeping tabs"
"1741","C0557221","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0557221","Sleeping out"
"1742","C0413783","MEDCIN","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0413783","adverse effect of sleeping pill"
"1743","C5573495","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5573495","ARTEMISIA ANNUA FLOWERING TOP 3 [hp_X] in 59 mL / ASIAN GINSENG 3 [hp_X] in 59 mL / PASSIFLORA INCARNATA FLOWERING TOP 3 [hp_X] in 59 mL / SCHISANDRIN B, (+/-)- 3 [hp_X] in 59 mL / AMBER 3 [hp_X] in 59 mL / RAUWOLFIA SERPENTINA 6 [hp_X] in 59 mL / GRAPHITE 8 [hp_X] in 59 mL / ACONITUM NAPELLUS WHOLE 9 [hp_X] in 59 mL / BARIUM CARBONATE 9 [hp_X] in 59 mL / PHOSPHORUS 9 [hp_X] in 59 mL / ARNICA MONTANA WHOLE 12 [hp_X] in 59 mL / SULFUR 12 [hp_X] in 59 mL / ARSENIC TRIOXIDE 30 [hp_X] in 59 mL / MERCURIUS SOLUBILIS 30 [hp_X] in 59 mL / SEPIA OFFICINALIS JUICE 30 [hp_X] in 59 mL ORAL LIQUID [Sleep Disorder Drops 2152]"
"1744","C2219847","MEDCIN","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C2219847","sleeping much more than usual"
"1745","C1960520","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C1960520","Non-organic parasomnia"
"1746","C4306486","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4306486","ADENOSINE TRIPHOSPHATE DISODIUM 8 [hp_X] in 1 mL / PANTOTHENIC ACID 8 [hp_X] in 1 mL / SUS SCROFA PINEAL GLAND 8 [hp_X] in 1 mL / LACTIC ACID, L- 8 [hp_X] in 1 mL / UBIDECARENONE 8 [hp_X] in 1 mL / TRYPTOPHAN 8 [hp_X] in 1 mL / MELATONIN 8 [hp_X] in 1 mL / PYRROLE 8 [hp_X] in 1 mL / ARSENIC TRIOXIDE 10 [hp_X] in 1 mL / AVENA SATIVA FLOWERING TOP 10 [hp_X] in 1 mL / MATRICARIA CHAMOMILLA 10 [hp_X] in 1 mL / ARABICA COFFEE BEAN 10 [hp_X] in 1 mL / MERCURIC CHLORIDE 10 [hp_X] in 1 mL / PASSIFLORA INCARNATA FLOWERING TOP 10 [hp_X] in 1 mL / SILICON DIOXIDE 10 [hp_X] in 1 mL / ZINC VALERATE DIHYDRATE 10 [hp_X] in 1 mL / SHIGELLA DYSENTERIAE 30 [hp_C] in 1 mL / SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR ENTERITIDIS 30 [hp_C] in 1 mL ORAL LIQUID [Sleep Tight]"
"1747","C5540389","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5540389","ADENOSINE TRIPHOSPHATE DISODIUM 8 [hp_X] in 1 mL / PANTOTHENIC ACID 8 [hp_X] in 1 mL / SUS SCROFA PINEAL GLAND 8 [hp_X] in 1 mL / LACTIC ACID, L- 8 [hp_X] in 1 mL / UBIDECARENONE 8 [hp_X] in 1 mL / TRYPTOPHAN 8 [hp_X] in 1 mL / MELATONIN 8 [hp_X] in 1 mL / PYRROLE 8 [hp_X] in 1 mL / ARSENIC TRIOXIDE 10 [hp_X] in 1 mL / AVENA SATIVA FLOWERING TOP 10 [hp_X] in 1 mL / MATRICARIA CHAMOMILLA WHOLE 10 [hp_X] in 1 mL / ARABICA COFFEE BEAN 10 [hp_X] in 1 mL / MERCURIC CHLORIDE 10 [hp_X] in 1 mL / PASSIFLORA INCARNATA FLOWERING TOP 10 [hp_X] in 1 mL / SILICON DIOXIDE 10 [hp_X] in 1 mL / ZINC VALERATE DIHYDRATE 10 [hp_X] in 1 mL / SHIGELLA DYSENTERIAE 30 [hp_C] in 1 mL / SALMONELLA ENTERICA ENTERICA SEROVAR ENTERITIDIS 30 [hp_C] in 1 mL ORAL LIQUID [Sleep Aid]"
"1748","C4224534","MTHSPL","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4224534","ADENOSINE PHOSPHATE DISODIUM 8 [hp_X] in 1 mL / PANTOTHENIC ACID 8 [hp_X] in 1 mL / SUS SCROFA PINEAL GLAND 8 [hp_X] in 1 mL / LACTIC ACID, L- 8 [hp_X] in 1 mL / UBIDECARENONE 8 [hp_X] in 1 mL / MELATONIN 8 [hp_X] in 1 mL / PYRROLE 8 [hp_X] in 1 mL / TRYPTOPHAN 8 [hp_X] in 1 mL / ARSENIC TRIOXIDE 10 [hp_X] in 1 mL / AVENA SATIVA FLOWERING TOP 10 [hp_X] in 1 mL / MATRICARIA RECUTITA 10 [hp_X] in 1 mL / ARABICA COFFEE BEAN 10 [hp_X] in 1 mL / MERCURIC CHLORIDE 10 [hp_X] in 1 mL / PASSIFLORA INCARNATA FLOWERING TOP 10 [hp_X] in 1 mL / SILICON DIOXIDE 10 [hp_X] in 1 mL / ZINC VALERATE DIHYDRATE 10 [hp_X] in 1 mL / SHIGELLA DYSENTERIAE 30 [hp_C] in 1 mL / SALMONELLA ENTERICA SUBSP. ENTERICA SEROVAR ENTERITIDIS 30 [hp_C] in 1 mL ORAL LIQUID [Perfect Sleep]"
"1749","C0751509","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0751509","Short Sleeper Syndrome"
"1750","C0661256","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0661256","DSIP-immunoreactive peptide"
"1751","C5210709","RXNORM","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5210709","doxylamine succinate 25 MG Oral Tablet [Nocto]"
"1752","C3191845","RXNORM","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C3191845","menthol 20 MG/ML Topical Solution"
"1753","C2961233","RXNORM","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C2961233","acetaminophen 325 MG / diphenhydramine hydrochloride 50 MG Oral Tablet [Unisom with Pain Relief]"
"1754","C4523051","RXNORM","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4523051","5-hydroxytryptophan 50 MG / melatonin 6 MG Oral Tablet"
